127.0.0.1 - - [06/Mar/2019:01:14:31 -0800] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:19:45 -0800] "GET /AjaxDemo1/First.html HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:19:54 -0800] "POST /AjaxDemo1/ajax.txt HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:21:11 -0800] "GET /AjaxDemo1/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:21:16 -0800] "POST /AjaxDemo1/ajax.txt HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:21:49 -0800] "GET /AjaxDemo1/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:21:50 -0800] "GET /AjaxDemo1/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:22:01 -0800] "POST /AjaxDemo1/ajax.txt HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:23:21 -0800] "POST /AjaxDemo1/ajax.txt HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:31:19 -0800] "GET /AjaxDemo1/First.html HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:31:19 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:31:22 -0800] "POST /AjaxDemo1/ajax.txt HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:32:13 -0800] "GET /AjaxDemo1/First.html HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:32:13 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:32:16 -0800] "POST /AjaxDemo1/ajax.txt HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:32:43 -0800] "GET /AjaxDemo1/First.html HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:32:47 -0800] "POST /AjaxDemo1/ajax.txt HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:37:54 -0800] "POST /AjaxDemo1/ajax.txt HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:37:55 -0800] "POST /AjaxDemo1/ajax.txt HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:37:55 -0800] "POST /AjaxDemo1/ajax.txt HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:56:33 -0800] "GET /AjaxDemo1/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:57:35 -0800] "GET /AjaxDemo1/First.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:01:57:43 -0800] "POST /AjaxDemo1/ajax.txt HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:07:58 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:26:55 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:26:56 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:26:59 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:27:09 -0800] "GET /AjaxDemo1/surprise.html HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:27:09 -0800] "GET /AjaxDemo1/style.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:30:48 -0800] "GET /AjaxDemo1/surprise.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:30:48 -0800] "GET /AjaxDemo1/style.css HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:32:43 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:33:44 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:33:45 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:33:45 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:35:32 -0800] "GET /AjaxDemo1/surprise.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:35:32 -0800] "GET /AjaxDemo1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:35:33 -0800] "GET /AjaxDemo1/surprise.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:35:33 -0800] "GET /AjaxDemo1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:35:33 -0800] "GET /AjaxDemo1/surprise.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:35:33 -0800] "GET /AjaxDemo1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:35:37 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:35:42 -0800] "GET /AjaxDemo1/surprise.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:35:42 -0800] "GET /AjaxDemo1/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:35:44 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:36:00 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:36:52 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:37:08 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:37:25 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:38:55 -0800] "GET /AjaxDemo1/Second.html HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [06/Mar/2019:02:38:56 -0800] "GET /AjaxDemo1/surprise.html HTTP/1.1" 304 -
